The Woman in Black 2: Angel of Death (2014),42,Drama/Horror/Thriller,Tom Harper,"Helen McCrory, Jeremy Irvine, Phoebe Fox, Leanne Best"
A Most Violent Year (2014),79,Action/Crime/Drama/Thriller,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola"
Leviafan (2014),92,Drama,Andrey Zvyagintsev,"Aleksey Serebryakov, Elena Lyadova, Roman Madyanov, Vladimir Vdovichenkov"
[REC] 4: Apocalipsis (2014),53,Action/Horror/Thriller,Jaume Balagueró,"Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi"
The Search for General Tso (2014),72,Documentary/Comedy/History/Mystery,Ian Cheney,Ian Cheney
Taken 3 (2014),26,Action/Thriller,Olivier Megaton,"Liam Neeson, Forest Whitaker, Maggie Grace, Famke Janssen"
Die geliebten Schwestern (2014),66,Drama/History/Romance,Dominik Graf,"Hannah Herzsprung, Florian Stetter, Henriette Confurius, Claudia Messner"
Boven is het stil (2013),72,Drama,Nanouk Leopold,"Jeroen Willems, Henri Garcin, Wim Opbrouck, Martijn Lakemeier"
Paddington (2014),77,Comedy/Family,Paul King,"Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent"
The Wedding Ringer (2015),35,Comedy,Jeremy Garelick,"Kevin Hart, Josh Gad, Kaley Cuoco, Affion Crockett"
Blackhat (2015),51,Action/Crime/Drama/Mystery/Thriller,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang"
Still Alice (2014),72,Drama,Richard Glatzer|Wash Westmoreland,"Julianne Moore, Alec Baldwin, Kristen Stewart, Kate Bosworth"
Spare Parts (2015),50,Drama,Sean McNamara,"George Lopez, Jamie Lee Curtis, Carlos PenaVega, Marisa Tomei"
Match (2014),62,Comedy/Drama,Stephen Belber|Fanny Sidney,"Patrick Stewart, Carla Gugino, Matthew Lillard, Yanis Macheboeuf"
Little Accidents (2014),56,Drama,Sara Colangelo,"Elizabeth Banks, Boyd Holbrook, Jacob Lofland, Josh Lucas"
Son of a Gun (2014),48,Action/Crime/Drama/Thriller,Julius Avery,"Ewan McGregor, Brendan Kerkvliet, Brenton Thwaites, Alicia Vikander"
The Boy Next Door (2015),30,Mystery/Thriller,Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett"
Mortdecai (2015),27,Action/Comedy/Mystery/Romance,David Koepp,"Johnny Depp, Gwyneth Paltrow, Ewan McGregor, Olivia Munn"
Black Sea (2014),62,Adventure/Thriller,Kevin Macdonald,"Jude Law, Scoot McNairy, Ben Mendelsohn, David Threlfall"
Strange Magic (2015),25,Animation/Family/Fantasy/Musical,Gary Rydstrom,"Evan Rachel Wood, Elijah Kelley, Kristin Chenoweth, Maya Rudolph"
Cake (2014),49,Drama,Daniel Barnz,"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington"
Song One (2014),48,Drama/Music,Kate Barker-Froyland,"Anne Hathaway, Johnny Flynn, Lola Kirke, Mary Steenburgen"
Mommy (2014),74,Drama,Xavier Dolan,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément, Patrick Huard"
Red Army (2014),83,Documentary/Biography/History/Sport,Gabe Polsky,"Viacheslav Fetisov, Scotty Bowman, Mark Deakins, Anatoli Karpov"
The Duke of Burgundy (2014),87,Drama,Peter Strickland,"Sidse Babett Knudsen, Monica Swinn, Chiara D'Anna, Kata Bartsch"
Black or White (2014),45,Drama,Mike Binder,"Kevin Costner, Octavia Spencer, Gillian Jacobs, Anthony Mackie"
Project Almanac (2015),47,Sci-Fi/Thriller,Dean Israelite,"Amy Landecker, Sofia Black-D'Elia, Virginia Gardner, Jonny Weston"
The Loft (2014),24,Mystery/Romance/Thriller,Erik Van Looy,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet"
Wild Card (2015),40,Action/Crime/Drama/Thriller,Simon West,"Jason Statham, Michael Angarano, Dominik García-Lorido, Milo Ventimiglia"
Amira & Sam (2014),58,Comedy/Drama/Romance,Sean Mullin,"Martin Starr, Dina Shihabi, Paul Wesley, Laith Nakli"
Timbuktu (2014),92,Drama,Abderrahmane Sissako,"Ibrahim Ahmed, Abel Jafri, Toulou Kiki, Layla Walet Mohamed"
Bande de filles (2014),85,Drama,Céline Sciamma,"Karidja Touré, Assa Sylla, Lindsay Karamoh, Mariétou Touré"
